Player,Team,Position,Age,Matches played,Minutes played,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Assists,Assists per 90,xA,xA per 90,Second assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",Successful attacking actions per 90,Goals,Goals per 90,Non-penalty goals,xG,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,GK Aerial duels per 90
A. Lopes,Olympique Lyonnais,GK,31,18,1715,1.57,0.05,0,0.26,80,0,1.57,2.22,0.05,0,0,0,0,0,0,0,0,0.42,62.5,0,0,0,0,0,0,3.31,71.43,19.63,92.78,9.66,87.5,4.51,72.09,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,26,1.36,28.89,1.52,2.89,0.152,102,5.35,3,74.51,0.94,0.26
A. Luthe,Union Berlin,GK,34,18,1719,1.57,0,0,0.47,88.89,0,1.57,1.71,0,0,0,0,0,0,0,0,0,2.46,63.83,0.05,0,0.1,50,0.05,0,8.38,78.13,24.03,85.4,14.4,77.82,9.69,68.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,23,1.2,23.18,1.21,0.18,0.009,73,3.82,6,68.49,1.68,0.47
A. McCarthy,Southampton,GK,32,15,1464,1.35,0,0,0.55,100,0,1.35,1.92,0,0,0,0,0,0,0,0,0,1.97,62.5,0.12,0,0.25,25,0,0,5.16,66.67,16.97,82.61,9.28,72.85,6.82,61.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,21,1.29,20.96,1.29,-0.04,-0.002,60,3.69,5,65,1.84,0.55
A. Nübel,Monaco,GK,25,20,1918,1.55,0.05,0,0.14,66.67,0,1.55,2.18,0,0,0,0,0,0,0,0,0,1.13,45.83,0.05,0,0,0,0,0,4.22,70,18.58,87.63,9.06,76.17,5.68,61.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,23,1.08,22.07,1.04,-0.93,-0.044,74,3.47,4,68.92,0.84,0.14
A. Oukidja,Metz,GK,33,17,1636,2.75,0.17,66.67,1.1,100,0,2.59,2.89,0.06,0,0,0,0,0,0,0,0,1.38,44,0.17,0,0.11,0,0.06,0,5.01,79.12,13.92,81.42,9.63,74.86,6.16,65.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,87.5,0,0,36,1.98,28.15,1.55,-7.85,-0.432,88,4.84,2,59.09,2.97,1.1
A. Ramsdale,Arsenal,GK,23,17,1659,1.57,0.11,50,0.33,100,0,1.52,2.02,0,0,0,0,0,0,0,0,0,3.53,53.85,0.22,0,0.16,0,0,0,6.02,78.38,23.06,85.18,13.73,76.68,7.92,61.64,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.11,50,0,0,16,0.87,20.19,1.1,4.19,0.227,71,3.85,9,77.46,1.63,0.33
A. Schwolow,Hertha BSC,GK,29,18,1730,1.66,0.1,0,0.42,100,0,1.61,1.94,0.1,0,0,0,0,0,0,0,0,0.83,62.5,0,0,0.05,0,0,0,5.67,74.31,21.59,90.12,10.4,82.5,6.97,71.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,100,0,0,38,1.98,32.64,1.7,-5.36,-0.279,83,4.32,2,54.22,0.99,0.42
Aitor Fernández,Levante,GK,30,11,1065,1.86,0.25,33.33,0.42,80,0,1.69,2,0.08,0,0,0,0,0,0,0,0,1.1,46.15,0.08,0,0,0,0,0,5.75,63.24,16.14,78.53,10.73,69.29,7.27,56.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,100,0,0,24,2.03,20.53,1.73,-3.47,-0.293,69,5.83,2,65.22,1.44,0.42
Álex Remiro,Real Sociedad,GK,26,17,1651,1.85,0.11,100,0.27,100,0,1.74,2.64,0,0,0,0,0,0,0,0,0,1.04,57.89,0,0,0,0,0,0,6.05,79.28,21.37,91.07,11.12,86.27,7.25,78.2,0.05,0,0,0,0,0,0,0,0,0,0,0.05,100,0.11,100,0,0,16,0.87,15.03,0.82,-0.97,-0.053,55,3,9,70.91,1.09,0.27
Alisson,Liverpool,GK,29,18,1753,2.1,0.21,75,0.62,75,0,1.9,3.08,0,0,0,0,0,0,0,0,0,1.28,48,0.05,0,0.1,50,0,0,3.08,73.33,25.93,92.48,11.76,84.72,4.31,61.9,0.05,0,0,0,0,0,0,0,0,0,0,0.05,100,0.1,50,0,0,16,0.82,16.12,0.83,0.12,0.006,54,2.77,9,70.37,1.33,0.62
Álvaro Fernández,Brentford,GK,23,11,1072,1.85,0,0,0.67,62.5,0,1.85,2.45,0,0,0,0,0,0,0,0,0,3.19,68.42,0.08,100,0.08,100,0.08,0,8.9,74.53,27.96,83.48,14.78,72.73,11.67,64.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.76,19.18,1.61,-1.82,-0.153,58,4.87,1,63.79,1.85,0.67
B. Costil,Bordeaux,GK,34,20,1923,1.68,0.14,33.33,0.37,100,0,1.59,1.92,0,0,0,0,0,0,0,0,0,1.4,33.33,0.19,0,0.09,0,0,0,5.71,73.77,20.87,83.63,12.87,76,9.03,64.77,0.05,0,0,0,0,0,0,0,0,0,0,0.05,100,0.05,100,0,0,44,2.06,31.65,1.48,-12.35,-0.578,111,5.2,0,60.36,1.36,0.37
B. Foster,Watford,GK,38,8,783,1.38,0.34,100,0.23,100,0,1.03,1.26,0,1,0.11,0.1,0.01,0,0,0,0.11,4.94,69.77,0.34,0,0.11,0,0,0,7.82,85.29,18.16,79.75,13.68,73.95,10.57,67.39,0.11,0,0,0,0,0,0,0,0,0,0,0.11,100,0.11,100,0,0,13,1.49,13.04,1.5,0.04,0.005,37,4.25,0,64.86,1.72,0.23
D. Bachmann,Watford,GK,27,10,985,2.1,0,0,0.37,100,0,2.1,2.39,0.09,0,0,0,0,0,0,0,0,3.84,54.76,0.09,0,0.27,0,0,0,6.67,83.56,16.81,79.35,10.51,70.43,9.14,66,0.09,0,0,0,0,0,0,0,0,0,0,0.09,100,0.09,100,0,0,23,2.1,20.89,1.91,-2.11,-0.193,64,5.85,0,64.06,1.37,0.37
D. Ospina,Napoli,GK,33,19,1827,1.23,0,0,0.69,92.86,0,1.23,1.84,0,0,0,0,0,0,0,0,0,0.69,71.43,0,0,0.1,100,0,0,4.48,68.13,19.66,90.98,11.63,86.02,5.86,73.95,0.05,0,0,0,0,0,0,0,0,0,0,0.05,100,0.15,100,0,0,14,0.69,16.24,0.8,2.24,0.11,62,3.05,10,77.42,1.18,0.69
Dani Cárdenas,Levante,GK,24,9,875,1.95,0.21,0,0.1,100,0,1.95,2.54,0,0,0,0,0,0,0,0,0,2.06,60,0,0,0,0,0,0,4.73,76.09,17.07,86.14,9.67,78.72,6.79,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.75,13.53,1.39,-3.47,-0.357,38,3.91,2,55.26,0.82,0.1
David de Gea,Manchester United,GK,31,19,1860,0.82,0,0,0.15,66.67,0,0.82,1.13,0,0,0,0,0,0,0,0,0,0.63,53.85,0.05,0,0,0,0,0,2.42,68,11.08,88.65,5.27,80.73,3.53,71.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1.31,34.44,1.67,7.44,0.36,96,4.65,4,71.88,0.82,0.15
David Raya,Brentford,GK,26,9,890,3.13,0,0,0.61,100,0,3.13,3.97,0,0,0,0,0,0,0,0,0,4.35,60.47,0.1,0,0.3,33.33,0,0,9.81,74.23,28.11,82.01,19.21,75.26,13.65,65.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,100,0,0,9,0.91,9.41,0.95,0.41,0.041,31,3.13,3,70.97,1.92,0.61
David Soria,Getafe,GK,28,20,1963,1.97,0.05,100,0.37,100,0,1.93,2.22,0,0,0,0,0,0,0,0,0,2.66,68.97,0.05,0,0.14,0,0,0,8.8,80.73,16.92,78.86,13.39,74.66,11.78,72.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.96,20.65,0.95,-0.35,-0.016,69,3.16,6,69.57,1.88,0.37
Diego López,Espanyol,GK,40,19,1871,2.02,0.05,100,0.43,88.89,0,1.97,2.44,0,0,0,0,0,0,0,0,0,1.49,45.16,0.14,0,0.14,0,0,0,3.85,71.25,16.35,84.71,7.74,70.19,5.15,57.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.06,21.69,1.04,-0.31,-0.015,90,4.33,6,75.56,1.54,0.43
